restime[s],N_agg[#/m3]
0,2.6261E+18
5.89908E-06,2.5994E+18
1.1798E-05,2.57313E+18
1.76967E-05,2.54728E+18
2.35952E-05,2.52185E+18
3.53916E-05,2.47257E+18
4.71874E-05,2.4248E+18
5.89823E-05,2.37849E+18
7.07766E-05,2.33358E+18
8.25701E-05,2.29001E+18
9.4363E-05,2.24772E+18
0.000117947,2.16791E+18
0.000141527,2.0925E+18
0.000165105,2.02118E+18
0.000188681,1.95365E+18
0.000212253,1.88964E+18
0.000235824,1.8289E+18
0.000259391,1.7712E+18
0.000282957,1.71861E+18
0.00033008,1.62127E+18
0.000377193,1.53107E+18
0.000424298,1.44738E+18
0.000471394,1.36964E+18
0.000518482,1.29732E+18
0.000565562,1.22998E+18
0.000612633,1.16719E+18
0.000659698,1.10858E+18
0.000706755,1.05382E+18
0.000753805,1.00259E+18
0.000847886,9.12301E+17
0.000941941,8.32463E+17
0.001035974,7.61625E+17
0.001129985,6.98571E+17
0.001223977,6.42273E+17
0.001317949,5.91858E+17
0.001411905,5.46587E+17
0.001505844,5.05826E+17
0.001599768,4.69032E+17
0.001693678,4.35739E+17
0.001787575,4.05542E+17
0.001881458,3.78094E+17
0.002069192,3.32095E+17
0.002256883,2.93288E+17
0.002444536,2.60335E+17
0.002632155,2.32182E+17
0.002819742,2.07994E+17
0.0030073,1.87102E+17
0.003194831,1.68966E+17
0.003382336,1.5315E+17
0.003569817,1.39295E+17
0.003757275,1.27108E+17
0.00394471,1.16347E+17
0.004132124,1.06808E+17
0.004319516,9.83236E+16
0.004506887,9.07519E+16
0.004881568,7.84507E+16
0.005256165,6.83591E+16
0.005630681,6.0004E+16
0.006005112,5.30278E+16
0.006379458,4.71572E+16
0.006753716,4.21812E+16
0.007127884,3.79348E+16
0.007501961,3.42882E+16
0.007875943,3.11382E+16
0.008249829,2.84022E+16
0.008997303,2.41468E+16
0.00974437,2.07862E+16
0.010491018,1.80945E+16
0.01123724,1.59104E+16
0.011983029,1.41174E+16
0.012728383,1.26293E+16
0.013473301,1.13821E+16
0.014217781,1.0327E+16
0.014961828,9.42695E+15
0.015705442,8.65313E+15
0.016448629,7.983E+15
0.017191394,7.39875E+15
0.01793374,6.88619E+15
0.018675675,6.4339E+15
0.019417204,6.03264E+15
0.020158334,5.67485E+15
0.02089907,5.35431E+15
0.02163942,5.06588E+15
0.022379391,4.80527E+15
0.02385822,4.37125E+15
0.025335606,4.00566E+15
0.026811602,3.69434E+15
0.028286254,3.42664E+15
0.02975961,3.19439E+15
0.031231714,2.9913E+15
0.032702608,2.8124E+15
0.034172334,2.65378E+15
0.035640928,2.51229E+15
0.038574882,2.28109E+15
0.041504725,2.08927E+15
0.044430703,1.92782E+15
0.047353037,1.79024E+15
0.05027193,1.6717E+15
0.053187568,1.56857E+15
0.056100119,1.47808E+15
0.059009741,1.39806E+15
0.061916577,1.32682E+15
0.064820759,1.26299E+15
0.070621705,1.15782E+15
0.076413411,1.06983E+15
0.082196647,9.95159E+14
0.0879721,9.31014E+14
0.093740381,8.75318E+14
0.09950204,8.26503E+14
0.105257575,7.83365E+14
0.11675228,7.13728E+14
0.128227511,6.56438E+14
0.139686064,6.08482E+14
0.151130484,5.6775E+14
0.162563166,5.32723E+14
0.179695565,4.897E+14
0.196814239,4.53873E+14
0.231041517,4.53872E+14
