d_m[nm],dN/dlogdm
2.5,1.32E+10
2.66051,5.85E+09
2.83133,2.32E+09
3.04453,9.20E+08
3.29649,3.72E+08
3.56931,1.65E+08
3.60652,1.08E+08
3.87809,3.68E+07
4.21358,2.74E+07
4.75554,1.26E+07
5.3858,3.48E+07
5.95375,8.95E+07
6.51369,1.95E+08
7.02842,3.09E+08
7.55765,4.47E+08
8.5003,8.23E+08
9.36426,1.36E+09
10.4597,2.19E+09
11.8869,3.36E+09
13.7445,3.97E+09
15.8375,5.33E+09
19.088,6.30E+09
22.6115,6.78E+09
26.6008,6.66E+09
33.8839,5.64E+09
40.1385,3.97E+09
47.5477,2.28E+09
53.2937,1.26E+09
60.3568,5.48E+08
64.6776,2.71E+08
